# Configuracion:
# Concentracion g/m^3_=_53300.0
# C_Vs_to_Am_M_A/Vsm_=_128687336408.14134
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_ref_Hz_=_136043.4667546774
# 
Resultados:
# tau_s_=_(1.06+/-0.03)e-08
# dphi_rad_=_6.29+/-0.00
# SAR_W/g_=_4.41+/-0.12
# Hc_kA/m_=_0.51+/-0.01
# Mr_A/m_=_86.01+/-1.18
# Suceptibilidad_a_M=0_=_0.1715+/-0.0009

Nombre_archivo	Time_m	Temperatura_(ºC)	Mr_(A/m)	Hc_(kA/m)	Campo_max_(A/m)	Mag_max_(A/m)	f0	mag0	dphi0	SAR_(W/g)	Tau_(s)	N	xi_M_0
135kHz_060dA_100Mss_FSA007.txt		20.0	87.58	0.51	23594.80	1847.91	1.360544e+05	3.006539e+01	6.292484e+00	4.54	1.087837e-08	4410	1.721e-01
135kHz_060dA_100Mss_FSA008.txt		20.0	87.21	0.51	23594.80	1849.48	1.360544e+05	3.008842e+01	6.292344e+00	4.47	1.071473e-08	4410	1.725e-01
135kHz_060dA_100Mss_FSA009.txt		20.0	87.60	0.51	23594.80	1849.60	1.360544e+05	3.009280e+01	6.292486e+00	4.54	1.088143e-08	4410	1.724e-01
135kHz_060dA_100Mss_FSA010.txt		20.0	87.88	0.52	23594.80	1849.36	1.360544e+05	3.007743e+01	6.292520e+00	4.56	1.092062e-08	4410	1.723e-01
135kHz_060dA_100Mss_FSA011.txt		20.0	87.85	0.51	23594.80	1849.25	1.360544e+05	3.008383e+01	6.292594e+00	4.59	1.100712e-08	4410	1.727e-01
135kHz_060dA_100Mss_FSA012.txt		20.0	87.96	0.52	23594.80	1848.94	1.360544e+05	3.007878e+01	6.292625e+00	4.61	1.104434e-08	4410	1.728e-01
135kHz_060dA_100Mss_FSA013.txt		20.0	86.84	0.51	23594.80	1846.92	1.360544e+05	3.004605e+01	6.292200e+00	4.40	1.054663e-08	4410	1.723e-01
135kHz_060dA_100Mss_FSA014.txt		20.0	86.42	0.51	23594.80	1845.19	1.360236e+05	3.002505e+01	6.292496e+00	4.54	1.089297e-08	4411	1.719e-01
135kHz_060dA_100Mss_FSA015.txt		20.0	87.23	0.51	23594.80	1848.08	1.360544e+05	3.007141e+01	6.292283e+00	4.44	1.064328e-08	4410	1.724e-01
135kHz_060dA_100Mss_FSA016.txt		20.0	86.65	0.51	23594.80	1845.26	1.360236e+05	3.002369e+01	6.292369e+00	4.47	1.074491e-08	4411	1.723e-01
135kHz_060dA_100Mss_FSA017.txt		20.0	85.51	0.50	23594.80	1843.16	1.360236e+05	2.999001e+01	6.292092e+00	4.33	1.042031e-08	4411	1.722e-01
135kHz_060dA_100Mss_FSA018.txt		20.0	86.63	0.51	23594.80	1843.91	1.360236e+05	3.000185e+01	6.292605e+00	4.59	1.102118e-08	4411	1.717e-01
135kHz_060dA_100Mss_FSA019.txt		20.0	85.43	0.50	23594.80	1844.16	1.360236e+05	3.000967e+01	6.292201e+00	4.39	1.054806e-08	4411	1.715e-01
135kHz_060dA_100Mss_FSA020.txt		20.0	85.22	0.50	23594.80	1842.57	1.360236e+05	2.997738e+01	6.292159e+00	4.37	1.049850e-08	4411	1.717e-01
135kHz_060dA_100Mss_FSA021.txt		20.0	86.34	0.51	23594.80	1840.05	1.360236e+05	2.994490e+01	6.292463e+00	4.51	1.085431e-08	4411	1.716e-01
135kHz_060dA_100Mss_FSA022.txt		20.0	86.49	0.51	23594.80	1842.06	1.360544e+05	2.996271e+01	6.292228e+00	4.40	1.058012e-08	4410	1.718e-01
135kHz_060dA_100Mss_FSA023.txt		20.0	85.51	0.50	23594.80	1839.09	1.360236e+05	2.991463e+01	6.292314e+00	4.43	1.068046e-08	4411	1.710e-01
135kHz_060dA_100Mss_FSA024.txt		20.0	84.54	0.50	23594.80	1836.37	1.360236e+05	2.987191e+01	6.291881e+00	4.22	1.017415e-08	4411	1.709e-01
135kHz_060dA_100Mss_FSA025.txt		20.0	85.48	0.50	23594.80	1835.87	1.360236e+05	2.985945e+01	6.292221e+00	4.38	1.057156e-08	4411	1.711e-01
135kHz_060dA_100Mss_FSA026.txt		20.0	84.53	0.50	23594.80	1836.63	1.360236e+05	2.987449e+01	6.291954e+00	4.25	1.025992e-08	4411	1.710e-01
135kHz_060dA_100Mss_FSA027.txt		20.0	84.57	0.50	23594.80	1837.16	1.360236e+05	2.988032e+01	6.291929e+00	4.24	1.023040e-08	4411	1.711e-01
135kHz_060dA_100Mss_FSA028.txt		20.0	84.62	0.50	23594.80	1835.82	1.360236e+05	2.985764e+01	6.291949e+00	4.25	1.025353e-08	4411	1.711e-01
135kHz_060dA_100Mss_FSA029.txt		20.0	85.33	0.50	23594.80	1833.26	1.360236e+05	2.981932e+01	6.292307e+00	4.41	1.067259e-08	4411	1.704e-01
135kHz_060dA_100Mss_FSA030.txt		20.0	84.87	0.50	23594.80	1829.68	1.360236e+05	2.976003e+01	6.292176e+00	4.34	1.051961e-08	4411	1.700e-01
135kHz_060dA_100Mss_FSA031.txt		20.0	84.77	0.50	23594.80	1829.24	1.360236e+05	2.974246e+01	6.292093e+00	4.30	1.042369e-08	4411	1.696e-01
135kHz_060dA_100Mss_FSA032.txt		20.0	84.71	0.50	23594.80	1827.93	1.360236e+05	2.972213e+01	6.292122e+00	4.31	1.045718e-08	4411	1.703e-01
135kHz_060dA_100Mss_FSA033.txt		20.0	84.61	0.50	23594.80	1827.89	1.360236e+05	2.972528e+01	6.292007e+00	4.26	1.032223e-08	4411	1.697e-01
