# Concentracion g/m^3_=_53300.0
# C_Vs_to_Am_M_A/Vsm_=_128687336408.14134
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_Hz_=_136279.6326574687
# Promedio de 27 ciclos

Tiempo_(s)	Campo_(V.s)	Magnetizacion_(V.s)	Campo_(kA/m)	Magnetizacion_(A/m)
0.000000e+00	-7.088925e-09	-1.537134e-08	-3.844859e+01	-2.310055e+03
1.000000e-08	-7.088749e-09	-1.537054e-08	-3.844750e+01	-2.309955e+03
2.000000e-08	-7.088026e-09	-1.536903e-08	-3.844343e+01	-2.309793e+03
3.000000e-08	-7.086724e-09	-1.536730e-08	-3.843627e+01	-2.309575e+03
4.000000e-08	-7.084972e-09	-1.536629e-08	-3.842667e+01	-2.309304e+03
5.000000e-08	-7.082789e-09	-1.536498e-08	-3.841467e+01	-2.308980e+03
6.000000e-08	-7.080115e-09	-1.536221e-08	-3.840006e+01	-2.308605e+03
7.000000e-08	-7.076991e-09	-1.535951e-08	-3.838305e+01	-2.308177e+03
8.000000e-08	-7.073365e-09	-1.535846e-08	-3.836322e+01	-2.307694e+03
9.000000e-08	-7.068928e-09	-1.534896e-08	-3.833891e+01	-2.307152e+03
1.000000e-07	-7.063388e-09	-1.532765e-08	-3.830864e+01	-2.306550e+03
1.100000e-07	-7.056912e-09	-1.532833e-08	-3.827346e+01	-2.305884e+03
1.200000e-07	-7.050188e-09	-1.535978e-08	-3.823705e+01	-2.305153e+03
1.300000e-07	-7.043480e-09	-1.534761e-08	-3.820057e+01	-2.304358e+03
1.400000e-07	-7.036321e-09	-1.529264e-08	-3.816155e+01	-2.303499e+03
1.500000e-07	-7.028447e-09	-1.529532e-08	-3.811871e+01	-2.302580e+03
1.600000e-07	-7.020127e-09	-1.535076e-08	-3.807356e+01	-2.301606e+03
1.700000e-07	-7.011623e-09	-1.532842e-08	-3.802734e+01	-2.300581e+03
1.800000e-07	-7.002651e-09	-1.524203e-08	-3.797850e+01	-2.299511e+03
1.900000e-07	-6.992984e-09	-1.525517e-08	-3.792593e+01	-2.298402e+03
2.000000e-07	-6.982842e-09	-1.532846e-08	-3.787090e+01	-2.297260e+03
2.100000e-07	-6.972426e-09	-1.529255e-08	-3.781431e+01	-2.296087e+03
2.200000e-07	-6.961452e-09	-1.520884e-08	-3.775461e+01	-2.294886e+03
2.300000e-07	-6.949783e-09	-1.523939e-08	-3.769123e+01	-2.293658e+03
2.400000e-07	-6.937688e-09	-1.528717e-08	-3.762554e+01	-2.292401e+03
2.500000e-07	-6.925149e-09	-1.522488e-08	-3.755735e+01	-2.291111e+03
2.600000e-07	-6.911918e-09	-1.517608e-08	-3.748542e+01	-2.289784e+03
2.700000e-07	-6.898097e-09	-1.522087e-08	-3.741042e+01	-2.288413e+03
2.800000e-07	-6.883933e-09	-1.521946e-08	-3.733351e+01	-2.286991e+03
2.900000e-07	-6.869270e-09	-1.515600e-08	-3.725380e+01	-2.285511e+03
3.000000e-07	-6.854010e-09	-1.516526e-08	-3.717092e+01	-2.283966e+03
3.100000e-07	-6.838335e-09	-1.519132e-08	-3.708586e+01	-2.282349e+03
3.200000e-07	-6.822241e-09	-1.512746e-08	-3.699841e+01	-2.280655e+03
3.300000e-07	-6.805497e-09	-1.509206e-08	-3.690745e+01	-2.278879e+03
3.400000e-07	-6.788224e-09	-1.514268e-08	-3.681371e+01	-2.277019e+03
3.500000e-07	-6.770598e-09	-1.512449e-08	-3.671802e+01	-2.275073e+03
3.600000e-07	-6.752491e-09	-1.504694e-08	-3.661968e+01	-2.273040e+03
3.700000e-07	-6.733820e-09	-1.506137e-08	-3.651836e+01	-2.270921e+03
3.800000e-07	-6.714680e-09	-1.509150e-08	-3.641445e+01	-2.268714e+03
3.900000e-07	-6.694931e-09	-1.502710e-08	-3.630718e+01	-2.266420e+03
4.000000e-07	-6.674454e-09	-1.498892e-08	-3.619602e+01	-2.264040e+03
4.100000e-07	-6.653418e-09	-1.501789e-08	-3.608187e+01	-2.261572e+03
4.200000e-07	-6.631929e-09	-1.499117e-08	-3.596523e+01	-2.259015e+03
4.300000e-07	-6.609953e-09	-1.494076e-08	-3.584595e+01	-2.256370e+03
4.400000e-07	-6.587567e-09	-1.495370e-08	-3.572446e+01	-2.253632e+03
4.500000e-07	-6.564767e-09	-1.494387e-08	-3.560067e+01	-2.250802e+03
