# Configuracion:
# Concentracion g/m^3_=_53300.0
# C_Vs_to_Am_M_A/Vsm_=_128687336408.14134
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_ref_Hz_=_136068.0171272869
# 
Resultados:
# tau_s_=_(8.86+/-0.15)e-09
# dphi_rad_=_6.29+/-0.00
# SAR_W/g_=_3.66+/-0.07
# Hc_kA/m_=_0.41+/-0.00
# Mr_A/m_=_48.56+/-0.76
# Suceptibilidad_a_M=0_=_0.1194+/-0.0014

Nombre_archivo	Time_m	Temperatura_(ºC)	Mr_(A/m)	Hc_(kA/m)	Campo_max_(A/m)	Mag_max_(A/m)	f0	mag0	dphi0	SAR_(W/g)	Tau_(s)	N	xi_M_0
135kHz_060dA_100Mss_FSP006.txt		20.0	49.65	0.41	23594.80	1940.73	1.360853e+05	3.027967e+01	6.290518e+00	3.60	8.575565e-09	4409	1.221e-01
135kHz_060dA_100Mss_FSP007.txt		20.0	49.57	0.41	23594.80	1930.96	1.360853e+05	3.011927e+01	6.290826e+00	3.74	8.935575e-09	4409	1.212e-01
135kHz_060dA_100Mss_FSP008.txt		20.0	50.12	0.41	23594.80	1932.82	1.360853e+05	3.014801e+01	6.290929e+00	3.79	9.056330e-09	4409	1.215e-01
135kHz_060dA_100Mss_FSP009.txt		20.0	49.03	0.41	23594.80	1927.63	1.360853e+05	3.006846e+01	6.290702e+00	3.67	8.790950e-09	4409	1.211e-01
135kHz_060dA_100Mss_FSP010.txt		20.0	49.42	0.41	23594.80	1929.49	1.360853e+05	3.009686e+01	6.290850e+00	3.75	8.963776e-09	4409	1.210e-01
135kHz_060dA_100Mss_FSP011.txt		20.0	48.78	0.41	23594.80	1925.71	1.360853e+05	3.003331e+01	6.290643e+00	3.64	8.721952e-09	4409	1.207e-01
135kHz_060dA_100Mss_FSP012.txt		20.0	49.46	0.41	23594.80	1928.47	1.360853e+05	3.008438e+01	6.290743e+00	3.69	8.839153e-09	4409	1.210e-01
135kHz_060dA_100Mss_FSP013.txt		20.0	49.24	0.41	23594.80	1926.67	1.360853e+05	3.004851e+01	6.290810e+00	3.72	8.917242e-09	4409	1.210e-01
135kHz_060dA_100Mss_FSP014.txt		20.0	48.39	0.40	23594.80	1920.96	1.360853e+05	2.995195e+01	6.290415e+00	3.52	8.456223e-09	4409	1.204e-01
135kHz_060dA_100Mss_FSP015.txt		20.0	49.04	0.41	23594.80	1920.84	1.360853e+05	2.995140e+01	6.290746e+00	3.68	8.842550e-09	4409	1.204e-01
135kHz_060dA_100Mss_FSP016.txt		20.0	48.64	0.41	23594.80	1916.94	1.360853e+05	2.988958e+01	6.290834e+00	3.71	8.945633e-09	4409	1.200e-01
135kHz_060dA_100Mss_FSP017.txt		20.0	49.07	0.41	23594.80	1915.36	1.360853e+05	2.986307e+01	6.290852e+00	3.72	8.967896e-09	4409	1.199e-01
135kHz_060dA_100Mss_FSP018.txt		20.0	49.20	0.41	23594.80	1911.19	1.360544e+05	2.980175e+01	6.290968e+00	3.77	9.103737e-09	4410	1.195e-01
135kHz_060dA_100Mss_FSP019.txt		20.0	48.54	0.41	23594.80	1905.14	1.360853e+05	2.969392e+01	6.290749e+00	3.65	8.847178e-09	4409	1.188e-01
135kHz_060dA_100Mss_FSP020.txt		20.0	48.95	0.41	23594.80	1903.45	1.360853e+05	2.966122e+01	6.290855e+00	3.69	8.971955e-09	4409	1.184e-01
135kHz_060dA_100Mss_FSP021.txt		20.0	48.21	0.41	23594.80	1901.25	1.360544e+05	2.964081e+01	6.290721e+00	3.63	8.814683e-09	4410	1.184e-01
135kHz_060dA_100Mss_FSP022.txt		20.0	47.99	0.41	23594.80	1896.87	1.360544e+05	2.957817e+01	6.290727e+00	3.62	8.822248e-09	4410	1.180e-01
135kHz_060dA_100Mss_FSP023.txt		20.0	47.64	0.40	23594.80	1898.85	1.360544e+05	2.960146e+01	6.290604e+00	3.56	8.677905e-09	4410	1.182e-01
135kHz_060dA_100Mss_FSP024.txt		20.0	47.62	0.40	23594.80	1903.35	1.360544e+05	2.963019e+01	6.290590e+00	3.56	8.662571e-09	4410	1.185e-01
135kHz_060dA_100Mss_FSP025.txt		20.0	47.76	0.40	23594.80	1901.38	1.360544e+05	2.960569e+01	6.290696e+00	3.61	8.785925e-09	4410	1.185e-01
135kHz_060dA_100Mss_FSP026.txt		20.0	48.34	0.41	23594.80	1899.80	1.360544e+05	2.957285e+01	6.290885e+00	3.70	9.007022e-09	4410	1.180e-01
135kHz_060dA_100Mss_FSP029.txt		20.0	48.06	0.41	23594.80	1899.36	1.360544e+05	2.957214e+01	6.290889e+00	3.70	9.012400e-09	4410	1.179e-01
135kHz_060dA_100Mss_FSP030.txt		20.0	47.85	0.41	23594.80	1898.39	1.360544e+05	2.954987e+01	6.290739e+00	3.62	8.836038e-09	4410	1.180e-01
135kHz_060dA_100Mss_FSP031.txt		20.0	47.87	0.41	23594.80	1900.75	1.360544e+05	2.959048e+01	6.290741e+00	3.63	8.839305e-09	4410	1.181e-01
135kHz_060dA_100Mss_FSP032.txt		20.0	47.83	0.41	23594.80	1898.81	1.360544e+05	2.955671e+01	6.290820e+00	3.66	8.931923e-09	4410	1.179e-01
135kHz_060dA_100Mss_FSP033.txt		20.0	47.46	0.40	23594.80	1897.47	1.360236e+05	2.955001e+01	6.290954e+00	3.73	9.088452e-09	4411	1.178e-01
135kHz_060dA_100Mss_FSP034.txt		20.0	47.28	0.40	23594.80	1899.12	1.360236e+05	2.957537e+01	6.290681e+00	3.60	8.768687e-09	4411	1.182e-01
