# Concentracion g/m^3_=_53300.0
# C_Vs_to_Am_M_A/Vsm_=_128687336408.14134
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_Hz_=_135985.0302194893
# Promedio de 25 ciclos

Tiempo_(s)	Campo_(V.s)	Magnetizacion_(V.s)	Campo_(kA/m)	Magnetizacion_(A/m)
0.000000e+00	-1.452348e-09	-6.772871e-09	-8.715286e+00	-8.682220e+02
1.000000e-08	-1.452360e-09	-6.763731e-09	-8.715358e+00	-8.682621e+02
2.000000e-08	-1.452339e-09	-6.769621e-09	-8.715229e+00	-8.682531e+02
3.000000e-08	-1.452273e-09	-6.769724e-09	-8.714836e+00	-8.681957e+02
4.000000e-08	-1.452152e-09	-6.761986e-09	-8.714111e+00	-8.680900e+02
5.000000e-08	-1.451946e-09	-6.766041e-09	-8.712871e+00	-8.679356e+02
6.000000e-08	-1.451609e-09	-6.770502e-09	-8.710850e+00	-8.677321e+02
7.000000e-08	-1.451133e-09	-6.764321e-09	-8.707992e+00	-8.674787e+02
8.000000e-08	-1.450545e-09	-6.760257e-09	-8.704463e+00	-8.671744e+02
9.000000e-08	-1.449845e-09	-6.758500e-09	-8.700263e+00	-8.668183e+02
1.000000e-07	-1.449001e-09	-6.750309e-09	-8.695200e+00	-8.664094e+02
1.100000e-07	-1.447946e-09	-6.742391e-09	-8.688869e+00	-8.659471e+02
1.200000e-07	-1.446660e-09	-6.740899e-09	-8.681151e+00	-8.654307e+02
1.300000e-07	-1.445201e-09	-6.737459e-09	-8.672398e+00	-8.648600e+02
1.400000e-07	-1.443636e-09	-6.729770e-09	-8.663004e+00	-8.642353e+02
1.500000e-07	-1.442016e-09	-6.724736e-09	-8.653286e+00	-8.635569e+02
1.600000e-07	-1.440368e-09	-6.721561e-09	-8.643397e+00	-8.628257e+02
1.700000e-07	-1.438691e-09	-6.714794e-09	-8.633332e+00	-8.620429e+02
1.800000e-07	-1.436944e-09	-6.705725e-09	-8.622847e+00	-8.612095e+02
1.900000e-07	-1.435075e-09	-6.698482e-09	-8.611629e+00	-8.603272e+02
2.000000e-07	-1.433058e-09	-6.691292e-09	-8.599526e+00	-8.593970e+02
2.100000e-07	-1.430925e-09	-6.682276e-09	-8.586728e+00	-8.584202e+02
2.200000e-07	-1.428720e-09	-6.673541e-09	-8.573496e+00	-8.573977e+02
2.300000e-07	-1.426438e-09	-6.665160e-09	-8.559803e+00	-8.563298e+02
2.400000e-07	-1.424071e-09	-6.655254e-09	-8.545599e+00	-8.552164e+02
2.500000e-07	-1.421612e-09	-6.644740e-09	-8.530844e+00	-8.540569e+02
2.600000e-07	-1.419050e-09	-6.635089e-09	-8.515467e+00	-8.528501e+02
2.700000e-07	-1.416380e-09	-6.625247e-09	-8.499446e+00	-8.515942e+02
2.800000e-07	-1.413582e-09	-6.615174e-09	-8.482659e+00	-8.502870e+02
2.900000e-07	-1.410642e-09	-6.605502e-09	-8.465016e+00	-8.489260e+02
3.000000e-07	-1.407578e-09	-6.595389e-09	-8.446627e+00	-8.475084e+02
3.100000e-07	-1.404436e-09	-6.583813e-09	-8.427772e+00	-8.460316e+02
3.200000e-07	-1.401252e-09	-6.570718e-09	-8.408666e+00	-8.444930e+02
3.300000e-07	-1.398027e-09	-6.556603e-09	-8.389314e+00	-8.428905e+02
3.400000e-07	-1.394750e-09	-6.541902e-09	-8.369646e+00	-8.412225e+02
3.500000e-07	-1.391407e-09	-6.527269e-09	-8.349591e+00	-8.394883e+02
3.600000e-07	-1.387990e-09	-6.513182e-09	-8.329084e+00	-8.376878e+02
3.700000e-07	-1.384474e-09	-6.498944e-09	-8.307986e+00	-8.358221e+02
3.800000e-07	-1.380815e-09	-6.483331e-09	-8.286030e+00	-8.338927e+02
3.900000e-07	-1.376977e-09	-6.467118e-09	-8.262994e+00	-8.319025e+02
4.000000e-07	-1.372950e-09	-6.450239e-09	-8.238832e+00	-8.298548e+02
4.100000e-07	-1.368749e-09	-6.432038e-09	-8.213622e+00	-8.277532e+02
4.200000e-07	-1.364369e-09	-6.414078e-09	-8.187340e+00	-8.256021e+02
4.300000e-07	-1.359837e-09	-6.397759e-09	-8.160142e+00	-8.234055e+02
4.400000e-07	-1.355184e-09	-6.382511e-09	-8.132218e+00	-8.211674e+02
4.500000e-07	-1.350432e-09	-6.367107e-09	-8.103702e+00	-8.188912e+02
4.600000e-07	-1.345614e-09	-6.350232e-09	-8.074793e+00	-8.165796e+02
4.700000e-07	-1.340733e-09	-6.331356e-09	-8.045503e+00	-8.142347e+02
4.800000e-07	-1.335780e-09	-6.310962e-09	-8.015779e+00	-8.118572e+02
4.900000e-07	-1.330730e-09	-6.290493e-09	-7.985477e+00	-8.094470e+02
5.000000e-07	-1.325578e-09	-6.271194e-09	-7.954561e+00	-8.070029e+02
5.100000e-07	-1.320315e-09	-6.253066e-09	-7.922975e+00	-8.045228e+02
5.200000e-07	-1.314937e-09	-6.235100e-09	-7.890702e+00	-8.020037e+02
5.300000e-07	-1.309456e-09	-6.216446e-09	-7.857813e+00	-7.994422e+02
5.400000e-07	-1.303876e-09	-6.197464e-09	-7.824329e+00	-7.968345e+02
5.500000e-07	-1.298195e-09	-6.177716e-09	-7.790240e+00	-7.941769e+02
5.600000e-07	-1.292400e-09	-6.156147e-09	-7.755463e+00	-7.914657e+02
5.700000e-07	-1.286472e-09	-6.133066e-09	-7.719892e+00	-7.886979e+02
5.800000e-07	-1.280391e-09	-6.109989e-09	-7.683399e+00	-7.858710e+02
5.900000e-07	-1.274159e-09	-6.087548e-09	-7.646003e+00	-7.829836e+02
6.000000e-07	-1.267804e-09	-6.064590e-09	-7.607870e+00	-7.800351e+02
6.100000e-07	-1.261337e-09	-6.040154e-09	-7.569063e+00	-7.770258e+02
6.200000e-07	-1.254750e-09	-6.015141e-09	-7.529533e+00	-7.739571e+02
6.300000e-07	-1.248061e-09	-5.990033e-09	-7.489393e+00	-7.708309e+02
6.400000e-07	-1.241279e-09	-5.964848e-09	-7.448698e+00	-7.676498e+02
6.500000e-07	-1.234409e-09	-5.940204e-09	-7.407470e+00	-7.644169e+02
6.600000e-07	-1.227469e-09	-5.915959e-09	-7.365823e+00	-7.611351e+02
6.700000e-07	-1.220458e-09	-5.890394e-09	-7.323753e+00	-7.578074e+02
6.800000e-07	-1.213385e-09	-5.863023e-09	-7.281311e+00	-7.544362e+02
6.900000e-07	-1.206258e-09	-5.835200e-09	-7.238544e+00	-7.510234e+02
7.000000e-07	-1.199061e-09	-5.807632e-09	-7.195355e+00	-7.475702e+02
7.100000e-07	-1.191779e-09	-5.779768e-09	-7.151653e+00	-7.440767e+02
7.200000e-07	-1.184408e-09	-5.751066e-09	-7.107424e+00	-7.405425e+02
7.300000e-07	-1.176951e-09	-5.722376e-09	-7.062676e+00	-7.369661e+02
7.400000e-07	-1.169406e-09	-5.694304e-09	-7.017398e+00	-7.333454e+02
7.500000e-07	-1.161758e-09	-5.666472e-09	-6.971505e+00	-7.296777e+02
7.600000e-07	-1.154014e-09	-5.638118e-09	-6.925035e+00	-7.259599e+02
7.700000e-07	-1.146194e-09	-5.608523e-09	-6.878109e+00	-7.221890e+02
7.800000e-07	-1.138307e-09	-5.577830e-09	-6.830777e+00	-7.183619e+02
7.900000e-07	-1.130360e-09	-5.547167e-09	-6.783089e+00	-7.144757e+02
8.000000e-07	-1.122365e-09	-5.517015e-09	-6.735114e+00	-7.105280e+02
8.100000e-07	-1.114333e-09	-5.486001e-09	-6.686917e+00	-7.065173e+02
8.200000e-07	-1.106267e-09	-5.453250e-09	-6.638511e+00	-7.024423e+02
8.300000e-07	-1.098153e-09	-5.420142e-09	-6.589824e+00	-6.983027e+02
8.400000e-07	-1.089978e-09	-5.387581e-09	-6.540767e+00	-6.940987e+02
8.500000e-07	-1.081735e-09	-5.354551e-09	-6.491301e+00	-6.898311e+02
8.600000e-07	-1.073413e-09	-5.320354e-09	-6.441359e+00	-6.855012e+02
8.700000e-07	-1.065011e-09	-5.285784e-09	-6.390944e+00	-6.811106e+02
8.800000e-07	-1.056535e-09	-5.251371e-09	-6.340080e+00	-6.766608e+02
8.900000e-07	-1.047974e-09	-5.217061e-09	-6.288708e+00	-6.721536e+02
9.000000e-07	-1.039339e-09	-5.182590e-09	-6.236887e+00	-6.675905e+02
9.100000e-07	-1.030632e-09	-5.147136e-09	-6.184637e+00	-6.629725e+02
9.200000e-07	-1.021843e-09	-5.110762e-09	-6.131899e+00	-6.583008e+02
9.300000e-07	-1.012986e-09	-5.074146e-09	-6.078750e+00	-6.535756e+02
9.400000e-07	-1.004069e-09	-5.037367e-09	-6.025242e+00	-6.487971e+02
9.500000e-07	-9.950837e-10	-5.000251e-09	-5.971321e+00	-6.439651e+02
9.600000e-07	-9.860262e-10	-4.962366e-09	-5.916969e+00	-6.390791e+02
